TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,TRAN_JB,TRAN_HH,COMP_AUTO,COMP_TRAN,AUTO_JB_WT,AUTO_HH_WT,TRAN_JB_WT,TRAN_HH_WT
86,30086,109.480000,0.0,0.0,43017,30187,0,0,0,0,0,0,0,0
87,30087,205.870000,26.9,5.0,46232,32429,674,671,44946,674,1243650,162145,18135,3355
88,30088,184.340000,227.6,89.4,51026,35851,1715,1635,48318,1700,11613442,3205120,390247,146125
89,30089,58.410000,56.0,73.2,47901,33355,2931,2463,41799,2734,2682447,2441574,164132,180266
90,30090,140.580000,163.9,54.0,46489,32512,2370,1977,44336,2309,7619628,1755623,388374,106737
91,30091,181.780000,165.2,25.4,49118,34462,1649,1462,47970,1634,8114367,875343,272386,37141
92,30092,111.310000,206.9,19.2,50723,35619,1550,1364,49985,1541,10494497,683885,320731,26181
93,30093,56.880000,158.1,36.8,53152,37375,2199,1943,51354,2170,8403389,1375404,347741,71487
94,30094,47.230000,0.0,0.0,45930,32274,0,0,0,0,0,0,0,0
95,30095,116.720000,46.7,4.9,50259,35287,963,962,49438,963,2347076,172905,44987,4715
96,30096,151.300000,80.9,76.9,56549,39756,2194,2030,50764,2138,4574837,3057231,177518,156108
97,30097,169.140000,274.7,42.7,54202,38151,1958,1720,52932,1939,14889381,1629032,537953,73444
98,30098,107.240000,0.0,0.0,44107,30993,0,0,0,0,0,0,0,0
99,30099,195.100000,156.7,7.9,51420,36153,837,793,51006,836,8057526,285607,131123,6264
100,30100,98.770000,53.3,1.7,58875,41264,2123,1956,58570,2120,3138040,70148,113154,3325
101,30101,196.110000,21.5,9.9,58478,40986,1961,1822,54928,1933,1257267,405766,42169,18036
102,30102,55.080000,0.0,0.0,53594,37759,0,0,0,0,0,0,0,0
103,30103,95.610000,0.0,0.0,57239,40211,778,752,0,0,0,0,0,0
104,30104,89.620000,46.7,0.0,61142,42777,1967,1814,61142,1967,2855319,0,91855,0
105,30105,138.830000,0.0,0.0,66614,45680,0,0,0,0,0,0,0,0
106,30106,174.890000,25.2,0.0,59463,41575,667,642,59463,667,1498476,0,16799,0
107,30107,205.050000,23.9,0.0,62490,43601,1499,1400,62490,1499,1493521,0,35817,0
108,30108,140.880000,35.9,1.4,64620,45091,2240,2042,64207,2236,2319844,63127,80407,2858
109,30109,89.580000,0.0,78.1,75456,51602,0,0,51602,0,0,4030088,0,0
110,30110,107.660000,20.2,14.9,72312,49650,735,706,65747,726,1460701,739778,14843,10518
111,30111,104.180000,17.6,13.5,68575,47504,1921,1757,62301,1872,1206927,641307,33813,23723
112,30112,70.300000,7.0,0.0,67328,46798,2242,2032,67328,2242,471295,0,15695,0
113,30113,225.220000,21.4,1.0,70911,48742,842,788,70353,841,1517504,48742,18023,788
114,30114,114.850000,43.2,4.2,65968,46302,2237,1981,64965,2224,2849820,194469,96623,8322
115,30115,152.890000,16.5,1.2,65184,45763,1940,1729,64433,1932,1075531,54916,32011,2075
116,30116,126.740000,43.4,0.0,62956,44328,946,851,62956,946,2732311,0,41072,0
117,30117,61.970000,62.5,62.6,65923,46681,2269,1919,59065,2144,4120194,2922240,141797,120119
118,30118,172.330000,173.6,14.8,64519,45744,1776,1524,63674,1765,11200520,677007,308339,22559
119,30119,127.410000,85.7,0.0,63745,45125,1050,924,63745,1050,5462977,0,89996,0
120,30120,100.180000,60.4,8.1,67736,47894,1678,1445,66367,1661,4091270,387941,101321,11704
121,30121,125.110000,60.6,2.1,66950,47371,1652,1421,66582,1648,4057200,99479,100104,2983
122,30122,245.140000,11.3,0.0,71454,50372,1910,1582,71454,1910,807432,0,21588,0
123,30123,174.390000,57.4,0.6,71653,50509,1978,1627,71532,1976,4112896,30305,113516,976
124,30124,409.220000,126.0,10.4,76121,53357,1727,1324,75127,1710,9591233,554914,217639,13771
125,30125,206.880000,64.3,28.6,77868,54522,2246,1702,73260,2139,5006920,1559322,144428,48671
126,30126,289.050000,156.7,25.0,89334,62002,2246,1533,87119,2188,13998669,1550062,351984,38316
127,30127,456.860000,181.6,18.4,81545,56855,1470,1059,80235,1448,14808585,1046127,266998,19477
128,30128,484.120000,110.4,75.0,94358,65356,3385,2239,86439,3072,10417075,4901693,373758,167921
129,30129,172.180000,47.1,0.0,92628,64197,3633,2402,92628,3633,4362765,0,171104,0
130,30130,147.590000,3.2,0.0,77036,54040,0,0,77036,0,246516,0,0,0
131,30131,950.540000,2.4,10.7,75978,53651,0,0,60095,0,182348,574070,0,0
132,30132,280.100000,1.2,25.8,81172,56762,0,0,58656,0,97406,1464468,0,0
133,30133,807.360000,4.2,0.0,72587,51590,0,0,72587,0,304864,0,0,0
134,30134,423.290000,1.2,0.0,83951,58437,0,0,83951,0,100741,0,0,0
135,30135,398.560000,0.0,0.0,69006,49214,0,0,0,0,0,0,0,0
136,30136,161.900000,0.0,0.0,38909,26292,0,0,0,0,0,0,0,0
137,30137,47.860000,0.0,0.0,47495,32366,0,0,0,0,0,0,0,0
138,30138,217.560000,0.0,0.0,43991,29887,0,0,0,0,0,0,0,0
139,30139,139.320000,0.0,0.0,24529,16991,0,0,0,0,0,0,0,0
140,30140,37.440000,0.0,0.0,40020,27874,0,0,0,0,0,0,0,0
141,570141,11710.240000,146.8,947.7,47279,33700,0,0,36672,0,6940496,31937247,0,0
142,570142,6238.950000,32.3,0.0,61484,48259,0,0,61484,0,1985933,0,0,0
143,570143,2026.240000,50.3,0.0,62556,46107,0,0,62556,0,3146589,0,0,0
144,570144,385.750000,31.2,0.0,74352,52754,0,0,74352,0,2319780,0,0,0
145,570145,700.880000,166.7,0.0,78743,55608,0,0,78743,0,13126462,0,0,0
146,570146,376.720000,74.5,2.0,78115,56697,0,0,77801,0,5819536,113393,0,0
147,570147,577.340000,135.2,2.2,83016,59079,0,0,82803,0,11223819,129974,0,0
148,570148,445.200000,258.2,195.7,81438,59586,0,0,74985,0,21027243,11661034,0,0
149,570149,602.050000,341.3,39.7,94068,65810,0,0,92361,0,32105457,2612648,0,0
150,570150,675.270000,535.2,393.7,88455,61292,0,0,80602,0,47341147,24130726,0,0
151,570151,612.060000,245.5,151.5,100331,69038,0,0,92370,0,24631249,10459230,0,0
152,570152,682.560000,503.3,81.7,103510,71082,0,0,100839,0,52096449,5807378,0,0
153,570153,963.340000,13.5,4.3,63502,46804,0,0,61002,0,857278,201257,0,0
154,570154,786.240000,42.8,3.8,70188,51593,0,0,69318,0,3004042,196053,0,0
155,570155,2199.280000,120.7,6.5,68018,49362,0,0,67479,0,8209812,320853,0,0
156,570156,782.020000,109.0,10.3,77727,56227,0,0,76659,0,8472208,579140,0,0
157,570157,976.240000,44.7,2.8,79235,56745,0,0,78482,0,3541817,158886,0,0
158,570158,760.900000,234.8,56.7,80502,58510,0,0,77912,0,18901814,3317536,0,0
159,570159,1063.050000,527.2,217.0,86350,62418,0,0,81913,0,45523606,13544636,0,0
160,570160,249.960000,80.7,9.3,83311,60062,0,0,81919,0,6723224,558578,0,0
161,570161,474.310000,247.5,2.8,90232,63173,0,0,90063,0,22332325,176885,0,0
162,570162,709.600000,648.3,942.3,109537,74446,0,0,93902,0,71012990,70150579,0,0
163,570163,100.230000,6.3,41.8,95331,66365,0,0,72570,0,600588,2774040,0,0
164,570164,297.880000,29.7,1.8,105937,72349,0,0,104848,0,3146329,130228,0,0
165,570165,258.820000,27.8,126.7,113965,76904,0,0,87433,0,3168230,9743701,0,0
166,570166,1020.430000,92.8,2.3,93002,66763,0,0,92647,0,8630578,153555,0,0
167,570167,735.760000,22.8,2.3,82400,57797,0,0,81100,0,1878709,132934,0,0
168,570168,863.480000,99.8,22.8,96224,68584,0,0,93124,0,9603150,1563712,0,0
169,570169,1097.100000,166.5,67.2,102006,71418,0,0,96426,0,16983937,4799302,0,0
170,570170,230.240000,7.3,1.0,94294,65599,0,0,92274,0,688348,65599,0,0
171,570171,893.540000,52.2,1.0,101716,69827,0,0,101382,0,5309561,69827,0,0
172,570172,400.740000,78.2,0.0,113724,77592,0,0,113724,0,8893202,0,0,0
173,570173,1256.060000,220.3,624.0,121841,82100,0,0,97587,0,26841555,51230278,0,0
174,570174,331.120000,8.7,0.0,63502,45856,0,0,63502,0,552467,0,0,0
175,570175,391.260000,9.7,0.0,72217,51313,0,0,72217,0,700502,0,0,0
176,570176,817.860000,442.3,6.5,81788,57970,1344,775,81596,1340,36174686,376806,594516,5036
177,570177,562.470000,260.8,722.5,94158,64770,5664,3057,76378,4087,24556310,46796227,1477254,2208609
178,570178,681.950000,570.8,771.3,94098,66399,6026,3174,82254,4806,53711112,51213925,3439403,2447900
179,570179,406.610000,268.7,78.0,88743,62998,2549,1367,85183,2385,23845323,4913863,684830,106640
180,570180,171.690000,16.8,0.0,60432,45206,0,0,60432,0,1015255,0,0,0
181,570181,215.840000,98.0,9.5,64906,48333,0,0,64063,0,6360777,459165,0,0
182,570182,355.770000,32.3,2.8,56484,42518,0,0,55845,0,1824420,119051,0,0
183,570183,716.250000,862.0,334.0,74219,54574,393,236,70753,365,63976366,18227871,338576,78724
184,570184,570.110000,870.2,7.7,71515,53011,1971,1636,71425,1969,62232051,408186,1715025,12594
185,570185,387.380000,404.0,109.2,85533,61402,586,393,82396,561,34555248,6705142,236596,42880
186,570186,294.300000,160.7,582.2,80096,58612,3483,3133,65766,3249,12871472,34124057,559733,1823793
187,570187,730.560000,582.0,128.5,69095,51676,2419,2112,67200,2386,40213450,6640326,1408037,271372
188,570188,411.970000,173.2,0.7,61108,46625,896,893,61075,896,10583820,32638,155176,625
189,570189,191.290000,344.0,90.3,77796,57112,4315,3751,75175,4244,26761864,5157208,1484427,338704
190,570190,163.820000,345.8,3.3,70486,53128,3303,2929,70395,3301,24374015,175322,1142164,9665
191,570191,253.080000,499.3,150.8,81702,59819,4276,3510,78571,4166,40793648,9020684,2134856,529233
192,570192,368.830000,457.5,18.0,69201,52117,2228,2084,68837,2224,31659237,938115,1019095,37516
193,570193,563.810000,152.2,1989.8,101962,70573,3507,1119,74388,1409,15518550,140426004,533811,2225879
194,570194,426.430000,128.3,2105.7,97906,67419,6550,3203,70445,3535,12561379,141963449,840388,6743980
195,570195,302.990000,421.7,307.2,98886,69570,7484,3716,90469,6402,41700284,21371809,3156115,1141564
196,570196,584.070000,1405.8,797.0,89623,63823,2795,1711,83466,2536,125992475,50867180,3929537,1363283
197,570197,214.800000,77.7,8.3,97523,68051,7104,3600,95879,6909,7577507,564825,552013,29884
198,570198,502.080000,803.8,191.0,92232,65109,4290,2651,89082,4099,74135928,12435769,3448115,506339
199,570199,276.520000,394.8,384.8,96781,67303,6206,4581,86459,5637,38209280,25898027,2450147,1762869
200,570200,548.960000,322.2,1677.5,102566,70308,7916,4669,78625,5506,33046651,117941397,2550492,7832634
201,570201,229.420000,514.7,1012.3,84370,60972,4407,3641,72181,4008,43425038,61722184,2268139,3686288
202,570202,135.710000,125.8,0.0,77679,57977,1529,1324,77679,1529,9772048,0,192359,0
203,570203,403.770000,265.3,19.3,75879,56481,1388,1241,75129,1383,20130608,1090087,368340,23946
204,570204,171.010000,490.8,290.0,86789,62385,4627,3458,80779,4339,42595815,18091587,2270835,1002683
205,570205,165.750000,322.3,10.8,81784,59441,0,0,81378,0,26359115,641961,0,0
206,570206,72.000000,21.8,0.3,79068,57736,302,300,78907,302,1723692,17321,6581,90
207,570207,272.880000,1007.8,187.5,91794,64767,4216,3439,89273,4143,92510177,12143851,4248585,644784
208,570208,371.300000,880.7,107.2,85120,61198,3349,3447,83612,3355,74965259,6560431,2949279,369551
209,570209,249.460000,1233.5,118.7,97982,68266,7544,5391,96481,7436,120860312,8103189,9306041,639890
210,570210,147.910000,612.7,1.3,95607,67019,5232,4716,95574,5231,58578449,87124,3205475,6131
211,570211,466.090000,237.3,46.3,106029,72035,5914,1179,102719,5453,25160685,3335225,1403474,54579
212,570212,358.010000,26.2,168.0,113990,76685,2601,528,84893,984,2986549,12883137,68152,88755
213,570213,606.420000,231.0,112.8,117243,78392,6093,1545,108984,5126,27083090,8842562,1407378,174272
214,570214,494.790000,333.8,726.8,95829,65865,5833,1547,79462,3492,31987814,47870543,1947005,1124161
215,570215,692.170000,0.0,5214.0,112490,75028,8073,3788,75028,3788,0,391197702,0,19751720
216,570216,532.100000,0.0,7720.7,123140,80908,5792,2358,80908,2358,0,624665565,0,18208370
217,570217,399.530000,1107.0,142.3,103712,69660,12193,5088,101453,11722,114809409,9912568,13498022,724087
218,570218,198.590000,499.8,535.3,113239,75212,12142,4317,99096,9232,56596725,40260885,6068737,2311138
219,570219,295.680000,828.0,1100.5,112596,76043,16410,8788,97113,13181,93229752,83685191,13587269,9670666
220,570220,269.520000,733.0,1638.0,105024,71652,14041,8593,86580,11030,76982232,117365565,10292319,14074625
221,570221,234.420000,825.8,443.7,108074,73198,14337,8488,100087,12997,89247820,32478146,11839455,3766083
222,570222,235.660000,739.7,167.2,95482,66616,3830,3226,92275,3763,70627668,11138128,2832987,539441
223,570223,64.480000,109.0,1.5,91709,64638,1634,1581,91504,1634,9996266,96957,178112,2372
224,570224,140.650000,520.7,13.3,104434,71659,9387,6907,103978,9352,54379001,953071,4887617,91866
225,570225,155.770000,514.3,13.0,98529,68198,6390,5486,98111,6378,50673606,886578,3286426,71322
226,570226,79.330000,323.5,51.7,115440,77544,13356,6800,112364,12824,37344873,4009035,4320719,351585
227,570227,172.810000,460.5,1002.3,113970,76041,11128,6995,93255,8871,52483147,76215490,5124533,7010837
228,570228,131.430000,320.3,286.3,108301,73786,11197,7648,96886,10023,34688806,21124846,3586398,2189742
229,570229,155.960000,501.8,629.2,104698,71470,10476,6994,91094,9050,52537659,44968901,5256813,4400698
230,570230,111.000000,445.7,8.8,96542,66406,4705,3539,96217,4693,43028800,584369,2097222,31148
231,570231,238.290000,612.2,5.2,97572,66333,4128,3115,97426,4123,59733785,344929,2527119,16199
