primary_key,input_street,input_zone,x,y,score,locator,matchAddress,standardizedAddress,addressGrid,message
F20-81540,9135 W Magna Main St,84044.0,406322.1126578242,4507245.722186009,100.0,AddressPoints.AddressGrid,"9135 W MAGNA MAIN ST, SALT LAKE CITY",9135 west magna main street,SALT LAKE CITY,
F10-27738,2279 N Wedgewood Lane,84720.0,319113.43101950054,4176590.7141943984,100.0,AddressPoints.AddressGrid,"2279 N WEDGEWOOD LN, CEDAR CITY",2279 north wedgewood lane,CEDAR CITY,
F10-15691,595 N 500 W,84087.0,424816.2408166453,4527575.520536849,100.0,AddressPoints.AddressGrid,"595 N 500 W, BOUNTIFUL",595 north 500 west,BOUNTIFUL,
F21-87904,5218 S Redwood Road,84123.0,420604.88025461894,4501064.43322095,100.0,AddressPoints.AddressGrid,"5218 S REDWOOD RD, SALT LAKE CITY",5218 south redwood road,SALT LAKE CITY,
F17-58021,2700 W 5600 S,84067.0,412388.38801835827,4557273.434119623,100.0,AddressPoints.AddressGrid,"2700 W 5600 S, OGDEN",2700 west 5600 south,OGDEN,
F17-58020,868 S Main,84648.0,428280.9534653611,4394355.9183482,90.92,AddressPoints.AddressGrid,"868 S MAIN ST, NEPHI",868 south main,NEPHI,
F19-69329,2600 E 3900 S,84124.0,430921.64858455467,4504314.010635658,100.0,AddressPoints.AddressGrid,"2600 E 3900 S, SALT LAKE CITY",2600 east 3900 south,SALT LAKE CITY,
F10-8453,12 C Street,84103.0,425706.1472663582,4513581.568984486,100.0,AddressPoints.AddressGrid,"12 C ST, SALT LAKE CITY","12 C Street, 84103",SALT LAKE CITY,
F21-87865,146 E 13200 S,84020.0,424815.987633032,4484903.478124736,100.0,AddressPoints.AddressGrid,"146 E 13200 S, SALT LAKE CITY",146 east 13200 south,SALT LAKE CITY,
F21-87864,12956 S 2700 W,84065.0,418809.1217443373,4485455.692428543,100.0,AddressPoints.AddressGrid,"12956 S 2700 W, SALT LAKE CITY",12956 south 2700 west,SALT LAKE CITY,
F21-87863,2471 W 11400 S,84095.0,419281.54999550316,4488523.184044555,100.0,AddressPoints.AddressGrid,"2471 W 11400 S, SALT LAKE CITY",2471 west 11400 south,SALT LAKE CITY,
F10-27293,500 Chipeta Way,84108.0,430403.9208998586,4512220.06289717,100.0,AddressPoints.AddressGrid,"500 CHIPETA WAY, SALT LAKE CITY","500 Chipeta Way, 84108",SALT LAKE CITY,
F21-85460,288 N 1460 W,84120.0,421245.5114451852,4514302.189010485,100.0,AddressPoints.AddressGrid,"288 N 1460 W, SALT LAKE CITY",288 north 1460 west,SALT LAKE CITY,
F10-3634,615 S 300 E,84111.0,425571.498188643,4512017.522180203,100.0,AddressPoints.AddressGrid,"615 S 300 E, SALT LAKE CITY",615 south 300 east,SALT LAKE CITY,
F18-63274,7918 S Highland Drive,84121.0,429489.1814169297,4495479.417795894,100.0,AddressPoints.AddressGrid,"7918 S HIGHLAND DR, SALT LAKE CITY",7918 south highland drive,SALT LAKE CITY,
F10-11857,10750 South 1300 East,84094.0,427701.06150270405,4489832.67276943,100.0,AddressPoints.AddressGrid,"10750 S 1300 E, SALT LAKE CITY","10750 South 1300 East, 84094",SALT LAKE CITY,
F10-3629,160 9th Street,84404.0,418188.41114050377,4566831.261250867,100.0,AddressPoints.AddressGrid,"160 9TH ST, OGDEN","160 9th Street, 84404",OGDEN,
F10-3522,5820 Wasatch Drive,84403.0,421451.1508040233,4556650.693293551,100.0,AddressPoints.AddressGrid,"5820 WASATCH DR, OGDEN","5820 Wasatch Drive, 84403",OGDEN,
F10-3658,3534 Highland Drive,84106.0,428229.518204139,4505203.448967649,100.0,AddressPoints.AddressGrid,"3534 HIGHLAND DR, SALT LAKE CITY","3534 Highland Drive, 84106",SALT LAKE CITY,
F10-9792,4615 South Highland Drive,84117.0,429009.87979003217,4502523.113895482,100.0,AddressPoints.AddressGrid,"4615 S HIGHLAND DR, SALT LAKE CITY","4615 South Highland Drive, 84117",SALT LAKE CITY,
F10-8393,4547 S 4000 W,84120.0,416645.45706201997,4502732.907629339,100.0,AddressPoints.AddressGrid,"4547 S 4000 W, SALT LAKE CITY",4547 south 4000 west,SALT LAKE CITY,
F15-42741,2122 E Fort Union Blvd,84121.0,429772.9408562671,4497312.141518892,100.0,AddressPoints.AddressGrid,"2122 E FORT UNION BLVD, SALT LAKE CITY",2122 east fort union boulevard,SALT LAKE CITY,
F20-77440,409 N University Ave.,84601.0,443943.5329948154,4454525.569979668,100.0,AddressPoints.AddressGrid,"409 N UNIVERSITY AVE, PROVO",409 north university avenue,PROVO,
F20-80860,191 W River Park Drive,84604.0,443869.083497733,4461570.749659326,100.0,AddressPoints.AddressGrid,"191 W RIVER PARK DR, PROVO",191 west river park drive,PROVO,
F15-41834,110 W 500 S,84631.0,385033.4863411205,4312983.330412395,100.0,AddressPoints.AddressGrid,"110 W 500 S, FILLMORE",110 west 500 south,FILLMORE,
F10-28652,4881 S  1900 W,84067.0,413635.99948773417,4558521.828096919,100.0,AddressPoints.AddressGrid,"4881 S 1900 W, OGDEN",4881 south 1900 west,OGDEN,
F15-41798,3343 E 7800 S,84121.0,432348.1852920311,4495722.580678108,100.0,Centerlines.StatewideRoads,"3343 E 7800 S, Salt Lake City",3343 east 7800 south,Salt Lake City,
